cod_interprete,interprete
1,"Mastruz com Leite"
2,"Mastruz Com Leite"
3,"Cavalo de Pau"
4,"Calango Acesso"
5,"Mel Com Terra"
6,"Styllus"
7,"Cavalo de Pau"
8,"Eliane"
9,"Mastruz Com Leite"
10,"O Forrozão"
11,"Gonzagão e Fagner"
12,"Rita de Cássia & Redondo"
13,"Aquárius"
14,"Domiguinhos "
15,"Luiz Gonzaga"
16,"Nando Cordel"
17,"Jorge de Altinho"
18,"Gonzagão e Gonzaguinha"
19,"Cebola Ralada"
20,"Flávio José"
21,"Novinho da Paraíba"
22,"Alcymar Monteiro"
23,"Alcymar Monteiro"
24,"Chiclete com Banana"
25,"Forró Maior"
26,"Kátia di Tróia"
27,"Feijão com Arroz"
28,"Chá de Hortelã"
29,"Magníficos"
30,"Capim e Canela"
31,"Jorge de Altinho"
32,"Viva Gonzagão"
33,"Elba Ramalho"
34,"Mastruz com Leite"
35,"Eliane"
36,"Forró Brasil"
37,"Luiz Gonzaga"
38,"Forró Mania"
39,"Domiguinhos"
40,"Raio da Silibrina"
41,"Assisão"
42,"Rabo de Saia"
43,"Café Coado"
44,"Nando Cordel"
45,"Keijo com Mel"
46,"Brucelose/Gilson Neto"
47,"Forró Maior"
48,"Luiz Gonzaga"
49,"Domiguinhos"
50,"Mastruz com Leite"
51,"Assisão"
52,"Zinho e Banda Girassol"
53,"Balaio de Gatos"
54,"Rabo de Saia"
55,"Bicho de Pé"
56,"Dançando Forró 95"
57,"Mel com Terra"
58,"Mel com Terra"
59,"Forró Bronzeado"
60,"Luiz Gonzaga"
61,"Capital do Forró"
62,"Na Onda do Forró"
63,"Forró"
64,"Luiz Gonzaga"
65,"Styllus"
66,"Mastruz com Leite"
67,"Dedim Gouveia / Banda Rayalle"
68,"Sirano e banda Só O Mie"
69,"Forró do Gonzagão"
70,"Nando Cordel"
71,"Viva a Noite"
72,"Sirano"
73,"Flávio José"
74,"Maciel Melo"
75,"Alcymar Monteiro"
76,"Rita de Cássia & Redondo"
77,"Malícia"
78,"Café Cuado"
79,"Café Cuado"
80,"Peru de Ouro"
81,"Na Folia do Forró"
82,"Na Folia do Forró II"
83,"Mastruz com Leite"
84,"Luíz Fidelis"
85,"Forró Que Não Acaba Mais"
86,"Oxentemusic"
87,"Luiz Gonzaga"
88,"Mistura de Amor"
89,"Limão com Mel"
90,"Marinês"
91,"Jorge de Altinho"
92,"Passport"
93,"Palov"
94,"Márcia Rodrigues "
95,"Flávio José"
96,"Calango Aceso"
97,"Clemilda"
98,"Flávio José"
99,"Aquárius"
100,"Félix Porfírio"
101,"Fabiana"
102,"Alcymar Monteiro"
103,"Magnificos"
104,"Amazan"
105,"Assisão"
106,"Chá de Hortelã Vol III"
107,"Genival Lacerda"
108,"Novinho da Paraíba"
109,"Jorge de Altinho"
110,"Percurso Musical"
111,"Alcymar Monteiro"
112,"Palov"
113,"Cilene Araújo"
114,"João Bandeira"
115,"João Bandeira"
116,"Capital do Sol"
117,"4 Fases do Forró"
118,"Forró Legal"
119,"Os Piratas do Forró"
120,"Renato Fechine "
121,"Genival lacerda"
122,"Pula a Fogueira"
123,"Forró Legal"
124,"Forró Maior"
125,"Limão Com Mel"
126,"Luiz Gonzaga"
127,"Cavalo de Pau"
128,"Café Coado"
129,"Gerson Filho"
130,"Mastruz com Leite"
131,"Gerson Filho"
132,"Eliane"
133,"Anjos e Demonios"
134,"Forrobodó"
135,"Keijo com Mel"
136,"Feijão com Arroz"
137,"Dominguinhos"
138,"Forró Maior "
139,"Jorge de Altinho"
140,"Heleno"
141,"Êta Baile Arretado"
142,"Ô Xente Music"
143,"Zé Elias"
144,"Manoelito Sena"
145,"Chico Amaro"
146,"Maciel Melo"
147,"Arrasta-pé"
148,"Forró Maior"
149,"Duda da Passira"
150,"Geraldo Rodrigues"
151,"Forró Legal"
152,"Banda Max"
153,"Araújo"
154,"Banda Maradona"
155,"Aquarela Junina"
156,"Piky com Sal"
157,"Geovane Júnior"
158,"Sirano"
159,"Cacau com Leite"
160,"Silveirnha"
161,"Assisão"
162,"Brucelose Vol 2"
163,"Novinho da Paraíba"
164,"Pimenta do Reino"
165,"Miolo de Pote"
166,"Cebola Ralada"
167,"Leite de Côco"
168,"Trio Nordestino"
169,"Trio Nordestino"
170,"Eliane"
171,"Dominguinhos"
172,"Rita de Cássia e Redondo"
173,"Fole Safado"
174,"Lázaro do Piauí"
175,"Nando Cordel"
176,"Eliane"
177,"Forró Mania"
178,"Baby Som"
179,"Forró Brasil"
180,"Flor da Terra"
181,"Mastruz com leite"
182,"Cabeça de Touro"
183,"Chico Lopes e Banda Aquários"
184,"Baby Som"
185,"Alcymar Monteiro"
186,"Styllus"
187,"Luiz Gonzaga"
188,"Mastruz com Leite"
189,"Sertania"
190,"Bicho de Pé"
191,"Zé Celestino"
192,"Black Banda"
193,"Sirano"
194,"Vitamina C"
195,"Rabo de Saia"
196,"Alcymar Monteiro"
197,"Doce Mel"
198,"Mastruz com Leite"
199,"Cavalo de Pau"
200,"Capital do Forró"
201,"Forró da Brucelose"
202,"Joquinha Gonzaga"
203,"líbanos"
204,"Banda Rapadura"
205,"Metrópole"
206,"Flávio José"
207,"Magníficos"
208,"Arrasta Pé II"
209,"Limão com Mel Vol III"
210,"Pisa na Fulô"
