cod_musica,titulo_musica
1,"Minha Verdade"
2,"Pneu Furado"
3,"Raízes do Nordeste"
4,"Em Paz Com A Vida"
5,"Vaqueiro Apaixonado"
6,"Cara Metade"
7,"Meu Caminhoneiro"
8,"Namoro Na Fazenda"
9,"Sina de Caboclo"
10,"Vida de Vaqueiro"
11,"Dó de Mim"
12,"Mais e Muito Mais "
13,"Sem Razão"
14,"Sanfoneiro , Toque Mais"
15,"Coladinho"
16,"Tudo Culpa de Você"
17,"Vem Pro Meu Mundo"
18,"Rock do Sertão"
19,"Eu E O Meu Camaleão"
20,"Carta de Marginal"
21,"Marcas Desse Amor "
22,"Passeando Pelo Nordeste"
23,"Quer Ver Eu Querer Me Dê"
24,"Beija-Flor"
25,"Eu Não Sou Galinha Não"
26,"Medo De Te Perder"
27,"Tele-Amor"
28,"Se O Nordestino Quisesse"
29,"Meio Dia"
30,"Novos Paus-De-Arara"
31,"Não Dá Pra Te Esquecer"
32,"Leito da Saudade"
33,"Canarinha do Sertão"
34,"Nosso Caso de Amor"
35,"Timidez"
36,"Bichinho de Estimação"
37,"Tão Feliz , Tão Feliz"
38,"Lição de Amor "
39,"Sou O Cão Chupando Manga "
40,"A Melhor Mentira "
41,"Está Tudo Diferente"
42,"Vai Peão , Vai Peão"
43,"Lenda de Vaqueiro"
44,"Declaração de Um Vaqueiro"
45,"Baião da Gemedeira"
46,"Como Te Queria "
47,"Verdadeiro Amor"
48,"Diz Que Me Ama Porra !"
49,"Linda"
50,"Seguindo a Estrada"
51,"Me Diga"
52,"Acorda Mãe , Acorda Pai"
53,"Amor Traído"
54,"Baião de Dois"
55,"Capital e Interior "
56,"Recomeçar"
57,"Como Quero Te Amar"
58,"Dá de Pau no Coração"
59,"Com Amor Não Se Brinca"
60,"Anjo Que Caiu do Céu"
61,"Peneira de Amor"
62,"Dor de Saudade"
63,"Coração Velho II"
64,"Fogo de Paixão"
65,"Você Me Magoôu"
66,"Perfil do Poeta"
67,"Último Verão"
68,"Lembrança de Vaqueiro"
69,"Styllão"
70,"Quando Chego no Forró"
71,"Forró da Banda Styllus"
72,"Deixa"
73,"De Braço Dado Com A Solidão"
74,"Saudade de Casa"
75,"Passos na Areia"
76,"Meu Cavalo de Pau"
77,"Ainda Te Quero"
78,"Brincar de Amar"
79,"Dor da Ausência"
80,"""Noda de Caju"""
81,"Seis Cordas"
82,"Juras de Amor "
83,"Só O Filé"
84,"Por Causa de Você"
85,"Mais Que Amigos"
86,"Cantiga de Apaixonado"
87,"Mulher Ingrata"
88,"Quem É Ele"
89,"Forró Do Xamegar"
90,"Amor ou Paixão"
91,"Aqui Tem Arrocho"
92,"Poucas Palavras"
93,"No Bumbumbá do Zabumba"
94,"Luar do Sertão"
95,"Fogo no Forró"
96,"Estrela Guia"
97,"Na Cacimba do Amor"
