cod_titulo,titulo,locacao,valor,qtde_tot,qtde_disp,cod_grupo,cod_estilo
1,"Versão Brasileira","24",,2,1,8,51
2,"Rock do Sertão","24",,1,1,4,29
3,"Cão Chupando Manga ","24",,1,1,4,24
4,"Brincando de Alminha","24",,1,1,4,24
5,"Diz Que Me Ama , Porra !","24",,1,1,4,24
6,"Dor de Saudade","24",,1,1,4,24
7,"Noda de Caju","24",,1,1,4,24
8,"Estrela Guia","24",,1,1,4,24
9,"Flor do Mamulengo","24",,1,1,4,24
10,"O Forrozão","24",,1,1,4,24
11,"Gonzagão e Fagner","24",,1,1,4,24
12,"Rita de Cássia & Redondo","24",,1,1,4,24
13,"Asas da Imaginação","24",,1,1,4,24
14,"O Trinado do Trovão","24",,1,1,4,29
15,"Grandes Compositores","24",,1,1,4,24
16,"Bateu no Dodói","24",,1,1,4,24
17,"Caliente","24",,1,1,4,24
18,"A Viagem de...","24",,1,1,4,24
19,"Amor de Vaqueiro","24",,1,1,4,24
20,"Tareco & Mariola","24",,1,1,4,24
21,"Novinho","24",,1,1,4,24
22,"Música Popular Nordestina","24",,1,1,4,24
23,"O Rei do Forró","24",,1,1,4,24
24,"Chiclete com Banana no Forró","24",,2,2,4,24
25,"A Emoção do Forró","24",,1,1,4,24
26,"Kátia di Tróia","24",,1,1,4,24
27,"Feijão com Arroz","24",,1,1,4,24
28,"Um Chá de Sucessos II","24",,1,1,4,24
29,"Todo Dia Te Querer","24",,1,1,4,24
30,"A Magia do Forró","24",,1,1,4,24
31,"Pena de Passarinho","24",,1,1,4,24
32,"É Forró É Xote É Baião","24",,1,1,4,24
33,"O Grande Forró de ...","24",,1,1,4,24
34,"O Boi Zebú e as Formigas","24",,1,1,4,24
35,"Na Paz do seu Sorriso","24",,1,1,4,24
36,"Forró Brasil","24",,1,1,4,24
37,"O Melhor de ...","24",,1,1,4,24
38,"Forró Mania","24",,1,1,4,24
39,"Acervo Especial - Dominguinhos","24",,1,1,4,24
40,"Raio da Silibrina","24",,1,1,4,24
41,"Balanceando","24",,1,1,4,24
42,"Rato Véio","24",,1,1,4,24
43,"Café Coado","24",,1,1,4,24
44,"Jambeiro","24",,1,1,4,24
45,"Keijo com Mel","24",,1,1,4,24
46,"Brucelose/Gilson Neto","24",,1,1,4,24
47,"A Emoção do Forró III","24",,1,1,4,24
48,"Olha Pro Céu","24",,1,1,4,24
49,"É Tradição","24",,1,1,4,24
50,"Arrocha o Nó","24",,1,1,4,24
51,"Cigano Forrozeiro","24",,1,1,4,24
52,"Eu Sou o Forró","24",,1,1,4,24
53,"Sangue Nordestino","24",,1,1,4,24
54,"Coisa Fôfa , Linda e Gostosa","24",,1,1,4,24
55,"Recordando e Chamegando","24",,1,1,4,24
56,"Dançando Forró 95","24",,1,1,4,24
57,"Amor Que Fica","24",,1,1,4,24
58,"Doido por Forró","24",,1,1,4,24
59,"Forró Bronzeado","24",,1,1,4,24
60,"Forró do Começo ao Fim","24",,1,1,4,24
61,"Capital do Forró","24",,1,1,4,24
62,"Na Onda do Forró","24",,1,1,4,24
63,"Acervo Especial - Forró","24",,1,1,4,24
64,"Acervo Especial - Luiz Gonzaga","24",,1,1,4,24
65,"Vida de Estrada","24",,1,1,4,24
66,"Só Pra Xamegar","24",,1,1,4,24
67,"Forró Sapecado","24",,1,1,4,24
68,"Sirano","24",,1,1,4,24
69,"Do Jeito Que o Povo Gosta","24",,1,1,4,24
70,"Série (Popular Brasileira)","24",,1,1,4,24
71,"Não Faça de Mim Iôiô","24",,1,1,4,24
72,"Cabra Namorador","24",,1,1,4,24
73,"Nordestino Lutador","24",,1,1,4,24
74,"Alegria de Nós Dois","24",,1,1,4,24
75,"Vaquejadas Brasileiras (1º Circuito)","24",,1,1,4,24
76,"Príncipe do Nada","24",,1,1,4,24
77,"Estrelinha do Céu","24",,1,1,4,24
78,"O Sabor do Sucesso","24",,1,1,4,24
79,"O Sabor do Sucesso","24",,1,1,4,24
80,"Peru de Ouro","24",,1,1,4,24
81,"Na Folia do Forró","24",,1,1,4,24
82,"Na Folia do Forró II ","24",,1,1,4,24
83,"Cabeça com Bob's X Barriga Crescida","24",,1,1,4,29
84,"O Preço de um Homem","24",,1,1,4,24
85,"Forró que não acaba mais","24",,1,1,4,24
86,"Oxentemusic","24",,1,1,4,29
87,"Sangue de Nordestino","24",,1,1,4,24
88,"Mistura de Amor","24",,1,1,4,24
89,"Talismã","24",,1,1,4,24
90,"Cidadã do Mundo","24",,1,1,4,24
91,"Série Popular Brasileira","24",,1,1,4,29
92,"passaport","24",,1,1,4,29
93,"É Demais","24",,1,1,4,24
94,"Sedução","24",,1,1,4,24
95,"O Melhor De...","24",,1,1,4,24
96,"Fom-Fonrom-Fonfom","24",,2,2,4,24
97,"Seresteiro das Noites","24",,1,2,4,24
98,"Filho do Dono","24",,3,3,4,29
99,"Tem Gente","24",,2,2,4,29
100,"Forró de Verão","24",,1,1,4,29
101,"Com Amor Não Se Brinca","24",,1,1,4,29
102,"Cultura Popular","24",,1,1,4,29
103,"Meu Tesão é Você","24",,3,3,4,29
104,"Correnteza da paixão","24",,1,1,4,29
105,"Grandes Sucessos","24",,1,1,4,29
106,"Um Chá de Sucessos Vol.III","24",,1,1,4,29
107,"Rock do Jegue","24",,1,1,4,24
108,"Novinho da Paraíba","24",,1,1,4,24
109,"Nas Asas do Destino","24",,1,1,4,29
110,"No Mínimo o Máximo","24",,1,1,4,29
111,"Série 1+1","24",,1,1,4,24
112,"Tempo de Viver","24",,1,1,4,29
113,"Cilene Araújo","24",,1,1,4,29
114,"Bandeira do Forró","24",,1,1,4,29
115,"Xoteando no Forró","24",,1,1,4,29
116,"Valeu a Vaca","24",,1,1,4,24
117,"4 Fases do Forró","24",,1,1,4,29
118,"Forró Legal","24",,1,1,4,29
119,"Os Piratas do Forró","24",,1,1,4,29
120,"Mexendo com Você","24",,1,1,4,29
121,"Os grandes sucessos","24",,1,1,4,24
122,"Pula a Fogueira","24",,1,1,4,29
123,"Pra Você Ficar Legal","24",,1,1,4,29
124,"A Emoção do Forró Vol III","24",,1,1,4,29
125,"Talismã Vol.2","24",,2,1,4,24
126,"Vou Te Matar de Cheiro ","24",,1,1,4,29
127,"Namorando pelo Computador","24",,1,1,4,29
128,"Café Coado Vol.3","24",,1,1,4,29
129,"Forró com Briga","24",,1,1,4,29
130,"No Forró do Gonzagão","24",,2,1,4,29
131,"Quadrilha Brasileira","24",,1,1,4,29
132,"Dose Dupla","24",,1,1,4,29
133,"Sei Lá","24",,2,2,4,29
134,"Forrobodó","24",,1,1,4,24
135,"A Banda Jovem do Forró","24",,1,1,4,29
136,"Forró prá Todo Mundo","24",,1,1,4,29
137,"Os Grandes Sucessos","24",,1,1,4,24
138,"Dose Dupla","24",,1,1,4,29
139,"Com Você na Cabeça","24",,1,1,4,24
140,"Heleno dos Oitos Baixos","24",,1,1,4,24
141,"Êta Baile Arretado","24",,1,1,4,29
142,"As Melhores Bandas de Forró","24",,1,1,4,24
143,"Forró Sem Briga Vol.3","24",,1,1,4,29
144,"Forró Autêntico","24",,1,1,4,29
145,"Forró + Forró = Forró","24",,1,1,4,29
146,"Janelas","24",,1,1,4,29
147,"Arrasta-pé","24",,1,1,4,24
148,"Idéia de Jerico","24",,1,1,4,29
149,"Como Um Dia Te Amei","24",,1,1,4,29
150,"Geraldo Rodrigues e Banda Boi Com Abóbora","24",,1,1,4,29
151,"Você Marcou Demais a Minha Vida","24",,1,1,4,29
152,"Nave da Ilusão","24",,1,1,4,24
153,"Forró pra Doer","24",,1,1,4,24
154,"Já me Decici","24",,1,1,4,29
155,"Aquarela Junina","24",,1,1,4,29
156,"Piky com sal Vol 2","24",,1,1,4,29
157,"Meu Dengo é Você","24",,1,1,4,29
158,"Do Batente à Fora, Cabra Solteiro","24",,1,1,4,24
159,"O Forró da Bahia","24",,1,1,4,29
160,"Na Direção do Forró","24",,1,1,4,29
161,"Em Ritimo Quente","24",,1,1,4,29
162,"O Forró da Vaquejada","24",,1,1,4,29
163,"Vaquejada e Mulher","24",,1,1,4,29
164,"O Mais Quente do Nordeste","24",,1,1,4,24
165,"Miolo de Pote","24",,1,1,4,29
166,"O Tempero do Forró","24",,2,2,4,29
167,"Meu Sertão Meu Seridó !","24",,1,1,4,29
168,"Montanha Russa","24",,1,1,4,29
169,"Forró Pesado","24",,1,1,4,24
170,"Cheiro de Povo","24",,2,2,4,24
171,"Pé de Poeira","24",,1,1,4,29
172,"Rita de Cássia e Redondo - Ao Vivo","24",,1,1,4,24
173,"Fole Safado","24",,1,1,4,24
174,"Forró Porreta","24",,1,1,4,29
175,"Nando Cordel","24",,1,2,4,24
176,"Grandes Sucessos de ...","24",,1,1,4,24
177,"A Onda do Forró","24",,1,1,4,29
178,"Quente e Arrochado Vol 2","24",,1,1,4,29
179,"Mundo Colorido","24",,1,1,4,29
180,"A Condenada","24",,4,4,4,29
181,"Moto Taxi","24",,2,2,4,24
182,"O Mais Quente do Forró","24",,1,1,4,29
183,"Fã de Eliane","24",,1,1,4,29
184,"Quente e Arrochado Vol III","24",,3,3,4,29
185,"Vaquejadas Brasileiras 2º Circuito","24",,1,1,4,29
186,"Amor de Fantasia","24",,1,2,4,24
187,"Meus Momentos","24",,1,1,4,29
188,"No Forró do Jackson do Pandeiro","24",,1,1,4,29
189,"Coisas do Nordeste","24",,1,1,4,29
190,"Bicho do Mato","24",,1,1,4,24
191,"Motel de Pobre","24",,1,1,4,29
192,"Sou Black","24",,1,1,4,29
193,"De Maranguape Para o Brasil","24",,1,1,4,29
194,"Me Leva Que Eu Vou","24",,1,1,4,29
195,"Eu Bebo Porque Gosto","24",,1,1,4,29
196,"Nordestino","24",,1,1,4,29
197,"Desejo Menino","24",,1,1,4,29
198,"Em Todo Canto do Mundo","24",,1,1,4,29
199,"Não Queria Ser Minha Gaiola","24",,1,1,4,29
200,"Capital do Forró","24",,1,1,4,24
201,"Forró da Brucelose Vol 3","24",,4,4,4,29
202,"Cara e Coração","24",,11,11,4,29
203,"Banda Líbanos e Forrozão Tropykália","24",,1,1,4,29
204,"É Doce Mais Não É Mole","24",,1,1,4,29
205,"Metrópole","24",,2,2,4,29
206,"Sem Ferrolho e Sem Tramela","24",,1,1,4,24
207,"Me Usa","24",,5,4,4,24
208,"Arrasta Pé II ","24",,1,1,4,29
209,"Limão com Mel Vol III","24",,3,3,4,29
210,"Pisa na Fulô","24",,1,1,4,29
211,"Prá Gente se Amar","24",,1,1,4,29
212,"Sou Nordeste","24",,1,1,4,29
213,"Xodó do Brasil","24",,1,1,4,29
214,"Só Solo","24",,1,1,4,24
215,"Carlos Rilmar","24",,1,1,4,29
216,"Canibal","24",,2,2,4,29
217,"15 Anos de Forró","24",,1,1,4,29
218,"Cabra Assim é Bom Demais","24",,1,1,4,29
219,"Vem Juntinho","24",,1,1,4,29
220,"Como Um Dia Te Amei","24",,1,1,4,29
221,"Banda Som Maior","24",,1,1,4,24
222,"Só o Amor Faz","24",,1,1,4,29
223,"Me Pega, Me Beija, Me Leva","24",,1,1,4,24
224,"Cantador Nordestino","24",,1,1,4,29
225,"Minha Estrela Preferida","24",,1,1,4,29
226,"Nem a Lua Nem o Mar","24",,1,1,4,29
227,"Momento de Delírio","24",,1,1,4,24
228,"Rainha da Lotação","24",,1,1,4,24
229,"Forró Popular Brasileiro","24",,1,1,4,24
230,"A Emoção do Forró","24",,1,1,4,24
231,"Sempre Perto de Ti","24",,1,1,4,29
232,"O Tesão do Forró","24",,1,1,4,24
233,"Mexe Ville","24",,1,1,4,24
234,"Forró Pé de Serra","24",,2,2,4,29
235,"Xamego de Menina","24",,1,1,4,24
236,"Dominguinhos e Convidados Vol 1","24",,1,1,4,24
237,"Dominguinhos e Convidados Vol 2","24",,1,1,4,24
238,"Amor Canibal","24",,1,1,4,24
239,"Pífanos de Caruaru","24",,1,1,4,29
240,"Sua Majestade - O Rei do Rítimo","24",,1,1,4,24
241,"Delírius","24",,1,1,4,24
242,"Quente e  Arrochado Vol IV","24",,2,2,4,24
243,"Me Chamo Nando","24",,1,1,4,24
244,"Forró do Jackson do Pandeiro","24",,1,1,4,29
245,"Foi Melhor Assim","24",,1,1,4,24
246,"Explode Coração","24",,1,1,4,24
247,"Abraçando Você","24",,1,1,4,29
248,"Forró Café Com Leite","24",,1,1,4,24
249,"Quente e Arrochado","24",,1,1,4,29
250,"Um Show Ao Vivo - Só Forró","24",,2,2,4,24
251,"I Circuito de Vaquejada","24",,1,1,4,29
252,"Forró do Pente","24",,1,1,4,24
253,"O Forró Mais Arretado do Planeta","24",,1,1,4,24
254,"Vaquejadas Brasileiras 3º Circuito","24",,1,1,4,29
255,"Solando Pra Você Dançar e Cantar","24",,1,1,4,29
256,"Solando Pra Você Dançar e Cantar II","24",,1,1,4,24
257,"Mastruz com Leite - Ao Vivo","24",,4,4,4,24
258,"Flertes","24",,1,1,4,24
259,"Cavalo de Pau - Ao Vivo","24",,2,2,4,29
260,"Especial","24",,1,1,4,29
261,"Forró da Brucelose Vol 4","24",,1,1,4,24
262,"Menina-Borboleta","24",,1,1,4,29
263,"Forró Brasil Nº 1","24",,1,1,4,29
264,"Barraca do Gonzagão","24",,1,1,4,29
265,"A Poeira e A Estrada","24",,1,1,4,29
266,"Toda Sua","24",,2,2,4,29
267,"Tatuagem","24",,2,2,4,24
268,"Avesso da Solidão","24",,1,1,4,24
269,"Caviar com Rapadura Vol III","24",,1,1,4,24
270,"Forró de Todos os Tempos","24",,1,1,4,24
271,"Piky com Sal Vol 3","24",,1,1,4,24
272,"Fonte dos Desejos","24",,2,2,4,24
273,"Minha História","24",,1,1,6,39
274,"Sereia","24",,2,2,6,39
275,"Olodum","24",,1,2,6,39
276,"Sempre Demais","24",,1,1,6,39
277,"Cada Cabeça é Um Mundo","24",,1,1,6,39
278,"Mel com Terra - Ao Vivo","24",,1,1,4,29
279,"Calcinha Preta - Ao Vivo","24",,3,3,4,24
280,"Frank Aguiar - Ao Vivo Vol II","24",,1,1,4,24
281,"Baby Som - Ao Vivo","24",,2,2,4,29
282,"Corto e  Dou Pro Gato","24",,1,1,4,29
283,"Banana Coral","24",,1,1,6,39
284,"Chiclete com Banana - 13 ","24",,1,1,6,39
285,"Minha História","24",,1,1,6,39
286,"Ardente","24",,1,1,6,39
287,"Bom Demais","24",,2,2,6,39
288,"O Pulo da Gata","24",,1,1,6,39
289,"Música de Rua","24",,2,2,6,39
290,"Simone Moreno","24",,1,1,6,39
291,"Adrenalina","24",,1,1,6,39
292,"Fantasia","24",,1,1,6,39
293,"Vou de Banda","24",,1,1,6,39
294,"Pra Abalar","24",,2,2,6,39
295,"Personalidade","24",,1,1,6,39
296,"Tá Na Cara","24",,1,1,6,39
297,"The Best Of","24",,1,1,6,39
298,"The Best Of","24",,1,1,6,39
